x_position,x_label,pm_threshold_value,pm_label,pm_mean_feasible_ratio,pm_std_feasible_ratio,ms_threshold_value,ms_label,ms_mean_feasible_ratio,ms_std_feasible_ratio,overshoot_threshold_value,overshoot_label,overshoot_mean_feasible_ratio,overshoot_std_feasible_ratio,du_dt_threshold_value,du_dt_label,du_dt_mean_feasible_ratio,du_dt_std_feasible_ratio
0,"PM 0°
Ms 24 dB
ÜS 90 %
du/dt 500",0.0,0°,0.9996666666666667,0.0009999999999999898,24.0,24 dB,0.983,0.004068851871911232,90.0,90 %,0.9786666666666667,0.0076303487615064095,500.0,500,0.9723333333333333,0.007310570733153767
1,"PM 3°
Ms 22.74 dB
ÜS 85.5 %
du/dt 474",3.1578947368421053,3°,0.9736666666666667,0.009712534856222307,22.736842105263158,22.74 dB,0.981,0.007608474807008891,85.52631578947368,85.5 %,0.967,0.00948097510221858,473.7368421052632,474,0.961,0.009433981132056605
2,"PM 6°
Ms 21.47 dB
ÜS 81.1 %
du/dt 447",6.315789473684211,6°,0.8173333333333334,0.01896195020443719,21.473684210526315,21.47 dB,0.962,0.011075498483890752,81.05263157894737,81.1 %,0.875,0.024232668491567792,447.4736842105263,447,0.9653333333333334,0.012840906856172146
3,"PM 9°
Ms 20.21 dB
ÜS 76.6 %
du/dt 421",9.473684210526315,9°,0.6006666666666667,0.01436043948569202,20.210526315789473,20.21 dB,0.909,0.017578395831246964,76.57894736842105,76.6 %,0.7333333333333334,0.032041639575194444,421.2105263157895,421,0.9623333333333334,0.006839428176227728
4,"PM 13°
Ms 18.95 dB
ÜS 72.1 %
du/dt 395",12.631578947368421,13°,0.4573333333333333,0.021643577440997232,18.94736842105263,18.95 dB,0.8396666666666667,0.025579940057266222,72.10526315789474,72.1 %,0.643,0.021000000000000005,394.9473684210526,395,0.9283333333333333,0.013519533193782164
5,"PM 16°
Ms 17.68 dB
ÜS 67.6 %
du/dt 369",15.789473684210527,16°,0.38466666666666666,0.02993325909419153,17.684210526315788,17.68 dB,0.7546666666666666,0.03360555509634282,67.63157894736842,67.6 %,0.5443333333333333,0.038988602323129146,368.6842105263158,369,0.8926666666666667,0.01466666666666666
6,"PM 19°
Ms 16.42 dB
ÜS 63.2 %
du/dt 342",18.94736842105263,19°,0.30333333333333334,0.020869967789998035,16.42105263157895,16.42 dB,0.6646666666666666,0.02486407493196202,63.1578947368421,63.2 %,0.4716666666666667,0.028489764243788795,342.42105263157896,342,0.8506666666666667,0.020264912204760885
7,"PM 22°
Ms 15.16 dB
ÜS 58.7 %
du/dt 316",22.105263157894736,22°,0.24666666666666667,0.03022140521771503,15.157894736842106,15.16 dB,0.5853333333333334,0.015577761927397224,58.68421052631579,58.7 %,0.419,0.024269322199023183,316.1578947368421,316,0.8086666666666666,0.03169998247458332
8,"PM 25°
Ms 13.89 dB
ÜS 54.2 %
du/dt 290",25.263157894736842,25°,0.20533333333333334,0.021145002036204938,13.894736842105264,13.89 dB,0.5103333333333333,0.0192324956490022,54.21052631578947,54.2 %,0.358,0.020396078054371148,289.89473684210526,290,0.766,0.01331665623695877
9,"PM 28°
Ms 12.63 dB
ÜS 49.7 %
du/dt 264",28.42105263157895,28°,0.17766666666666667,0.023383279876394113,12.631578947368421,12.63 dB,0.429,0.027810869178154878,49.73684210526316,49.7 %,0.31666666666666665,0.03657564459825386,263.63157894736844,264,0.7236666666666667,0.02527405344968983
10,"PM 32°
Ms 11.37 dB
ÜS 45.3 %
du/dt 237",31.578947368421055,32°,0.15,0.02371122565837165,11.368421052631579,11.37 dB,0.37066666666666664,0.015405626677721794,45.26315789473684,45.3 %,0.2836666666666667,0.021105554824368968,237.36842105263156,237,0.6553333333333333,0.03177000681985029
11,"PM 35°
Ms 10.11 dB
ÜS 40.8 %
du/dt 211",34.73684210526316,35°,0.11933333333333333,0.014514360704718163,10.105263157894738,10.11 dB,0.31733333333333336,0.030868898407440597,40.78947368421053,40.8 %,0.24433333333333335,0.032285187522040716,211.10526315789474,211,0.6143333333333334,0.020765890836230025
12,"PM 38°
Ms 8.84 dB
ÜS 36.3 %
du/dt 185",37.89473684210526,38°,0.10166666666666667,0.021252450839060112,8.842105263157896,8.84 dB,0.256,0.028197714643408794,36.315789473684205,36.3 %,0.234,0.019020456823582808,184.84210526315792,185,0.5403333333333333,0.01386041525752786
13,"PM 41°
Ms 7.58 dB
ÜS 31.8 %
du/dt 159",41.05263157894737,41°,0.08633333333333333,0.013780017739062924,7.578947368421055,7.58 dB,0.20266666666666666,0.025854292572887086,31.84210526315789,31.8 %,0.203,0.017854348987789443,158.57894736842104,159,0.49866666666666665,0.026964997888208907
14,"PM 44°
Ms 6.32 dB
ÜS 27.4 %
du/dt 132",44.21052631578947,44°,0.062,0.015999999999999997,6.315789473684212,6.32 dB,0.15633333333333332,0.016292465879799916,27.368421052631575,27.4 %,0.145,0.01707825127659933,132.31578947368422,132,0.44866666666666666,0.0241844761962894
15,"PM 47°
Ms 5.05 dB
ÜS 22.9 %
du/dt 106",47.36842105263158,47°,0.042666666666666665,0.011623730516108462,5.05263157894737,5.05 dB,0.117,0.01929018172830705,22.89473684210526,22.9 %,0.129,0.01795364401266031,106.05263157894734,106,0.398,0.02906697247545552
16,"PM 51°
Ms 3.79 dB
ÜS 18.4 %
du/dt 79.79",50.526315789473685,51°,0.024666666666666667,0.006359594676112971,3.7894736842105274,3.79 dB,0.08133333333333334,0.013266499161421601,18.421052631578945,18.4 %,0.09133333333333334,0.015143755588800725,79.78947368421052,79.79,0.3313333333333333,0.027211108842611405
17,"PM 54°
Ms 2.53 dB
ÜS 13.9 %
du/dt 53.53",53.68421052631579,54°,0.019333333333333334,0.0032659863237109042,2.526315789473685,2.53 dB,0.022,0.00541602560309064,13.94736842105263,13.9 %,0.09666666666666666,0.012909944487358056,53.5263157894737,53.53,0.24133333333333334,0.024549270186029287
18,"PM 57°
Ms 1.26 dB
ÜS 9.5 %
du/dt 27.26",56.8421052631579,57°,0.014333333333333333,0.0066749947981669285,1.2631578947368425,1.26 dB,0.007666666666666667,0.004955356249106168,9.473684210526315,9.5 %,0.07266666666666667,0.00916515138991168,27.26315789473682,27.26,0.155,0.024596747752497688
19,"PM 60°
Ms 0 dB
ÜS 5 %
du/dt 1",60.0,60°,0.018666666666666668,0.007774602526460401,0.0,0 dB,0.0,0.0,5.0,5 %,0.06533333333333333,0.011175369742826805,1.0,1,0.015333333333333334,0.003711842908553348
